date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:08:37	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:27%20GMT	https://akashshanmugaraj.wixsite.com/eec152dc.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/eec152dc.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:28%20GMT	https://akashshanmugaraj.wixsite.com/b604fd33.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/b604fd33.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:28%20GMT	https://akashshanmugaraj.wixsite.com/version/	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/version/index.html	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:28%20GMT	https://akashshanmugaraj.wixsite.com/7c602eb2.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/7c602eb2.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:38	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:28%20GMT	https://akashshanmugaraj.wixsite.com/4da3e2b2.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/4da3e2b2.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:29%20GMT	https://akashshanmugaraj.wixsite.com/2b8b066f.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/2b8b066f.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:29%20GMT	https://akashshanmugaraj.wixsite.com/2a3ba4df.min.css	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/2a3ba4df.min.css	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:39	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:30%20GMT	https://akashshanmugaraj.wixsite.com/d36dae34.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/d36dae34.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:30%20GMT	https://akashshanmugaraj.wixsite.com/eff8ef10.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/eff8ef10.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
19:08:40	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Sep%202022%2013:38:31%20GMT	https://akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt~bootstrap-classic.97ab5669.chunk.min.js	C:/My%20Web%20Sites/Portfolio/akashshanmugaraj.wixsite.com/rb_wixui.thunderbolt_bootstrap-classic.97ab5669.chunk.min.js	(from https://akashshanmugaraj.wixsite.com/portfolio)
